word,number_of_occurences
the,3460
be,2738
and,2617
I,2419
to,2364
a,2226
of,1948
he,1853
you,1757
have,1432
that,1166
in,1161
her,1110
she,987
his,820
it,817
dan,807
for,724
with,714
tamea,714
not,696
s,596
do,506
at,464
will,453
maisie,448
my,444
as,434
but,415
on,410
this,385
your,370
would,340
they,338
know,300
from,281
no,259
pritchard,254
man,250
all,248
say,248
if,246
when,242
one,242
so,242
t,242
sooey,235
very,230
wan,230
love,222
come,216
out,216
up,212
we,207
old,206
what,196
then,193
well,193
by,191
good,182
there,176
go,171
woman,169
think,168
shall,165
take,165
or,165
julia,164
like,159
make,155
could,155
now,153
see,150
mellenger,150
who,148
which,146
casson,143
into,136
never,130
why,130
hand,129
down,128
look,126
tell,126
long,121
too,121
about,121
how,120
dear,119
over,118
here,118
mrs,117
heart,113
day,113
girl,112
can,111
get,110
father,109
little,108
head,106
back,105
white,104
pippy,104
understand,102
some,101
upon,99
should,99
time,98
before,97
eye,97
re,96
house,95
thought,94
stand,92
their,91
more,91
life,91
much,91
any,91
Mr,91
than,90
marry,89
friend,88
after,87
because,87
riva,87
face,86
give,86
other,85
half,84
must,84
such,83
miss,83
two,83
desire,82
where,81
just,81
great,80
smile,78
might,78
again,77
while,77
may,77
yes,77
larrieau,75
call,75
happy,75
room,74
until,73
himself,71
night,71
first,70
business,70
rice,70
child,69
year,68
gaston,67
our,67
home,67
mel,66
captain,64
people,63
without,63
ever,63
office,63
way,62
quite,62
own,61
world,61
hold,61
turn,61
want,61
always,59
dinner,59
mind,58
kiss,57
return,57
away,56
thing,56
don,56
queen,55
something,55
right,55
grave,55
moment,54
meet,54
perhaps,53
sit,53
however,52
please,52
leave,52
morrison,52
money,52
even,51
through,51
around,51
left,51
word,51
arm,50
place,50
interest,50
nod,50
oh,50
o,49
only,49
wend,48
late,48
poor,47
voice,47
order,47
ask,47
nothing,47
sea,46
off,46
once,45
under,45
seek,45
pay,45
ketchum,45
young,44
glance,44
dollar,44
door,44
bring,43
cannot,43
morning,42
open,42
plan,42
boy,42
telephone,42
live,41
still,41
hour,41
nice,41
lady,41
stoneface,41
pelorus,41
mother,40
beard,40
d,40
doctor,40
many,40
indeed,39
against,39
speak,39
reply,39
help,39
five,39
herself,39
firm,39
last,38
blood,38
realize,38
send,38
continue,38
accept,38
watch,38
boss,38
ah,37
put,37
play,37
found,37
walk,37
clock,37
course,36
since,36
close,36
appear,36
most,36
uncle,36
feel,36
john,36
nor,36
velly,36
hear,35
land,35
moorea,35
toward,35
bite,35
god,35
hope,35
soul,35
kind,35
thank,35
hackett,35
muggridge,35
murmur,34
grow,34
draw,34
high,34
light,34
gan,34
die,34
care,34
each,33
foot,33
start,33
another,33
suppose,33
thousand,33
remain,32
island,32
certain,32
didn,32
monsieur,32
wish,32
enter,32
wait,32
try,32
silence,32
