word,number_of_occurences
the,10226
of,7397
be,5592
and,4406
in,3927
to,3579
a,2991
have,2872
that,2348
as,1590
species,1518
this,1458
by,1331
on,1279
we,1259
which,1232
or,1184
I,1153
from,1124
for,1114
it,1055
with,983
but,860
not,858
other,821
same,789
will,737
they,732
their,711
at,684
some,659
one,651
form,604
more,579
all,558
each,547
so,530
any,514
can,514
may,509
case,507
variety,489
would,489
many,450
if,415
when,414
its,410
most,404
very,403
selection,399
being,392
see,385
than,375
natural,375
plant,374
animal,366
great,364
genus,362
do,362
two,344
between,337
no,320
character,315
period,313
part,312
several,305
life,302
there,297
fact,292
number,287
group,286
different,285
our,281
thus,274
long,269
condition,266
only,266
nature,257
believe,257
distinct,256
less,248
new,246
structure,240
individual,236
produce,235
could,234
become,234
must,233
now,232
difference,231
much,231
large,231
good,231
change,225
under,223
such,222
often,220
time,220
modification,219
degree,218
how,218
during,216
breed,215
organ,211
even,210
instance,209
should,207
parent,203
into,201
yet,201
generally,200
first,199
view,199
common,198
show,198
far,195
island,194
though,194
exist,188
know,187
make,186
another,183
he,181
bird,181
modify,180
variation,178
might,176
few,173
formation,172
certain,169
habit,168
seem,167
hybrid,162
present,161
almost,158
seed,158
intermediate,157
state,157
closely,156
well,153
country,152
world,152
my,150
what,148
inhabitant,147
then,145
suppose,145
difficulty,144
both,142
class,140
whole,140
instinct,139
organic,138
cause,137
theory,137
found,137
production,136
differ,136
flower,135
given,135
small,134
ally,134
give,133
place,133
vary,130
important,130
nearly,130
cross,128
together,128
manner,127
slight,126
domestic,125
cannot,125
doubt,125
little,125
every,124
generation,124
increase,123
effect,122
high,121
why,120
insect,119
s,118
land,118
quite,118
come,118
sea,118
amount,116
sometimes,116
old,116
probably,116
range,115
area,114
here,114
look,114
water,113
point,113
appear,112
man,111
law,110
widely,110
still,110
bee,109
work,109
like,108
climate,107
descend,107
either,107
pigeon,105
within,105
remark,105
chapter,104
descendant,104
extinct,104
single,104
early,104
find,104
order,103
over,103
whether,102
principle,101
importance,101
through,101
general,101
use,100
living,100
also,100
own,100
america,99
hence,99
naturalist,98
year,98
male,98
family,98
relation,97
perfect,97
subject,97
take,97
kind,97
means,96
occur,95
say,95
think,95
act,95
rank,95
namely,93
hand,93
geological,92
up,92
shall,92
tend,92
successive,91
continent,91
always,91
inherit,91
three,91
action,90
his,90
struggle,88
explain,88
offspring,88
relate,87
descent,87
consider,87
understand,87
reason,87
mark,87
age,85
call,85
Mr,85
tree,85
sterility,83
fertility,83
power,82
however,82
pollen,82
never,82
process,82
ancient,81
inhabit,81
compare,80
separate,80
wide,79
colour,79
region,79
variability,78
rule,78
young,78
europe,78
line,77
close,76
perhaps,76
after,76
who,76
advantage,76
affinity,75
rudimentary,74
cell,74
system,74
live,74
extremely,74
size,74
stage,72
slowly,72
progenitor,72
existence,71
south,71
out,71
sub,71
admit,71
race,71
day,70
ever,70
stock,70
distant,70
extinction,69
improve,69
interval,69
throughout,68
without,68
again,68
strike,67
hardly,67
where,66
mountain,66
continue,65
side,65
tendency,65
evidence,65
respect,65
further,65
variable,64
short,64
unite,64
keep,64
follow,63
favourable,63
develope,63
foot,63
connect,63
certainly,63
slow,62
record,62
mammal,62
near,62
possible,62
course,62
horse,62
before,62
link,62
chance,61
wing,61
nest,61
inheritance,60
affect,60
low,60
classification,60
true,60
adapt,60
consequently,60
migration,60
extreme,59
various,59
distribution,59
lead,59
although,59
numerous,59
female,59
north,59
highly,58
member,58
let,58
perfectly,58
fossil,58
fish,58
complex,57
due,57
formerly,57
useful,57
accord,57
unknow,56
alone,56
embryo,56
once,55
accumulate,55
egg,55
branch,55
represent,55
growth,54
result,54
organisation,54
fertile,54
preserve,54
shell,54
fully,53
etc,53
nor,53
dog,53
confine,53
former,53
especially,52
create,52
food,52
similar,52
leg,52
bear,51
glacial,51
value,51
slightly,51
surprise,51
expect,51
circumstance,50
slave,50
crosse,50
rare,50
already,50
sexual,49
way,49
regard,49
largely,49
eye,49
body,49
lose,48
physical,48
latter,48
author,48
succeed,48
remarkable,48
lesser,48
rock,48
purpose,48
sterile,47
rate,47
creation,47
acquire,47
length,47
recent,47
wild,47
peculiar,47
mind,47
gradation,47
resemble,46
sex,46
intercross,46
secondary,46
fresh,46
apparently,46
mere,46
late,46
occasionally,46
greatly,46
stripe,46
origin,45
competition,45
organism,45
analogous,45
last,45
space,45
therefore,45
wholly,45
bed,45
depend,45
special,44
geographical,44
transport,44
add,44
fly,44
extent,44
likewise,44
strictly,44
try,44
f,44
appearance,43
account,43
occasional,43
history,43
select,43
belonging,43
head,43
clearly,43
discover,43
plainly,43
spread,43
dominant,43
southern,43
disuse,42
correspond,42
leave,42
go,42
render,42
observe,42
ant,41
conclude,41
probable,41
archipelago,41
thousand,41
earth,41
diagram,41
resemblance,41
wax,41
crossing,40
simple,40
ought,40
remain,40
direct,40
full,40
above,40
exterminate,40
domestication,39
vast,39
infer,39
remains,39
ordinary,39
prey,39
attribute,38
bring,38
expose,38
reproductive,38
difficult,38
remote,38
about,38
average,38
break,38
arctic,38
severe,37
discuss,37
enable,37
apply,37
element,37
cattle,37
possess,37
northern,37
succession,36
extend,36
Dr,36
aid,36
experiment,36
nothing,36
rarely,36
constitution,36
moreover,36
undergoe,36
rise,36
retain,36
american,36
destroy,36
stand,36
correlation,35
specific,35
mongrel,35
oceanic,35
terrestrial,35
favour,35
nevertheless,35
itself,35
raise,35
strongly,35
equal,35
because,35
proper,35
supplant,35
left,35
external,34
transitional,34
independently,34
conclusion,34
tail,34
owe,34
mean,34
attempt,34
soon,34
since,34
step,34
fit,34
community,34
ocean,34
type,33
stratum,33
c,33
amongst,33
get,33
just,33
utterly,33
assume,33
necessary,33
australia,33
carry,33
pure,33
liable,33
include,33
distance,33
continuous,33
disappear,33
her,33
able,33
away,33
marine,33
belief,32
home,32
until,32
explanation,32
suspect,32
freely,32
native,32
whereas,32
lie,32
easily,32
fruit,32
prove,32
plain,32
gärtner,32
migrate,32
temperate,32
doubtful,31
term,31
check,31
diversify,31
hive,31
level,31
enter,31
future,31
beak,31
consideration,31
convince,31
collect,31
tell,31
truth,31
down,31
indeed,31
district,31
thought,31
surface,31
tertiary,31
bat,31
silurian,31
imperfect,30
judge,30
feather,30
strange,30
turn,30
european,30
shape,30
open,30
remember,30
sediment,30
naturalise,29
graduate,29
development,29
define,29
prevent,29
pass,29
limit,29
particular,29
comparison,29
considerable,29
endure,29
cold,29
jaw,29
twenty,29
series,29
play,29
independent,29
suffer,29
fertilise,29
isolate,29
fauna,29
universal,28
trifle,28
reversion,28
perfection,28
light,28
possibly,28
complete,28
strong,28
somewhat,28
yield,28
support,28
influence,28
except,28
accumulation,28
adult,28
mile,28
something,27
lyell,27
necessarily,27
hereafter,27
determine,27
bone,27
proportion,27
transmit,27
wonderful,27
presence,27
shore,27
obvious,27
growe,27
round,27
worker,27
divergence,26
flight,26
absolutely,26
allow,26
exactly,26
feel,26
ground,26
directly,26
innumerable,26
invariably,26
frequently,26
suddenly,26
limb,26
sheep,26
whilst,26
arise,26
enormous,26
themselves,26
serve,26
larvæ,26
diverge,26
off,26
float,26
sense,25
study,25
object,25
opposite,25
require,25
too,25
profitable,25
naturally,25
curious,25
exception,25
horn,25
run,25
meet,25
face,25
tumbler,25
upper,25
following,25
adaptation,25
six,25
sufficient,25
reduce,25
seize,25
subsequently,25
convert,25
beetle,25
absence,24
mutual,24
hooker,24
agency,24
treat,24
survive,24
whatever,24
breeder,24
deviation,24
original,24
rather,24
mouth,24
speak,24
chiefly,24
facility,24
injurious,24
grow,24
end,24
hundred,24
deposit,24
comb,24
she,24
representative,24
economy,23
distinction,23
lapse,23
subordinate,23
question,23
detail,23
equally,23
gain,23
clear,23
epoch,23
function,23
seedling,23
assert,23
experience,23
quarter,23
derive,23
bar,23
thick,23
flora,23
de,23
forego,23
constant,23
coast,23
cirripedes,23
homologous,23
sphere,23
distinguish,22
govern,22
five,22
frequent,22
set,22
britain,22
along,22
base,22
professor,22
season,22
wall,22
merely,22
preservation,22
dry,22
examine,22
scale,22
finally,22
correlate,22
simultaneously,22
zealand,22
subsidence,22
deposite,22
diversity,21
neuter,21
publish,21
statement,21
argument,21
continually,21
commonly,21
simply,21
uniform,21
display,21
safely,21
extraordinary,21
aboriginal,21
including,21
actually,21
assuredly,21
readily,21
likely,21
reject,21
belong,21
observer,21
hold,21
inexplicable,21
warm,21
perform,21
master,21
endemic,21
zone,21
cave,21
across,21
summary,20
fossiliferous,20
reappear,20
hope,20
arrive,20
offer,20
embryonic,20
breeding,20
thickness,20
name,20
blend,20
interest,20
fantail,20
relative,20
quality,20
destruction,20
lay,20
quickly,20
alpine,20
analogy,20
madeira,20
geology,20
multitude,20
force,20
decrease,20
reach,20
spot,20
visit,20
elsewhere,20
surround,20
hermaphrodite,20
arrangement,20
generic,19
remove,19
parallelism,19
past,19
throw,19
sir,19
commencement,19
observation,19
domesticate,19
four,19
construct,19
blue,19
white,19
tooth,19
carefully,19
right,19
mainly,19
identical,19
height,19
unless,19
originally,19
eminently,19
aske,19
layer,19
admirable,19
incipient,19
forget,19
cover,19
specially,19
pistil,19
adjoin,19
dispersal,18
return,18
scarcely,18
acknowledge,18
cultivate,18
capable,18
begin,18
improvement,18
dispute,18
incline,18
fail,18
duck,18
allude,18
physiological,18
hear,18
truly,18
capacity,18
ass,18
ago,18
sufficiently,18
proceed,18
air,18
characteristic,18
inform,18
botanist,18
ultimately,18
england,18
trace,18
pair,18
universally,18
against,18
fill,18
aquatic,18
disturb,18
seldom,18
shoulder,18
solely,18
second,18
owen,18
parallel,18
consecutive,18
barrier,17
mainland,17
source,17
bearing,17
birth,17
doctrine,17
born,17
grave,17
partly,17
really,17
exclusively,17
weight,17
alike,17
carrier,17
instead,17
alter,17
black,17
recognise,17
indispensable,17
century,17
lately,17
fall,17
specimen,17
describe,17
galapagos,17
beat,17
everywhere,17
real,17
duration,17
fertilisation,17
gan,17
similarity,17
stigma,17
objection,17
completely,17
useless,17
occupy,17
depth,17
tropical,17
insist,17
graft,17
fine,17
crustacean,17
palæontologist,17
unusual,16
transition,16
sort,16
urge,16
third,16
receive,16
obscure,16
afford,16
briefly,16
propagate,16
apparent,16
mature,16
main,16
skin,16
infinitely,16
free,16
permanent,16
language,16
proportional,16
hatch,16
extermination,16
double,16
felt,16
example,16
idea,16
notice,16
africa,16
attention,16
playe,16
till,16
division,16
put,16
humble,16
ignorant,16
self,16
nectar,16
escape,16
hour,16
happen,16
systematic,16
rudiment,16
embed,16
grade,16
geologist,16
hemisphere,16
diffuse,15
cuckoo,15
sudden,15
reflect,15
draw,15
volume,15
authority,15
suffice,15
express,15
next,15
inevitably,15
cease,15
reproduction,15
acting,15
habitually,15
ancestor,15
india,15
care,15
enormously,15
back,15
british,15
contingency,15
edge,15
beautiful,15
blood,15
contrivance,15
direction,15
actual,15
gradual,15
cape,15
goose,15
imply,15
recently,15
red,15
station,15
towards,15
candolle,15
ten,15
germinate,15
vigorous,15
enemy,15
resist,15
supply,15
save,15
thrush,15
lowland,15
advantageous,15
basin,15
marsupial,15
forbes,15
shallow,15
mother,15
position,15
huber,15
plane,15
reciprocal,15
palæozoic,15
rapid,14
analogical,14
myself,14
trust,14
deep,14
vegetable,14
probability,14
confinement,14
need,14
garden,14
unimportant,14
cat,14
peculiarity,14
apt,14
treatise,14
child,14
million,14
diverse,14
savage,14
pretend,14
enough,14
english,14
lastly,14
eight,14
impossible,14
attend,14
discovery,14
concern,14
kill,14
specifically,14
section,14
undoubtedly,14
none,14
advance,14
competitor,14
sure,14
heath,14
stamen,14
illustrate,14
accidental,14
oscillation,14
rodent,14
letter,14
divergent,14
beneath,14
thin,14
degradation,14
measure,14
western,14
equator,14
genealogical,14
extensive,13
subsequent,13
embryology,13
aware,13
careful,13
ignorance,13
considerably,13
outer,13
unconsciously,13
choose,13
fourteen,13
crop,13
half,13
neither,13
dozen,13
battle,13
standard,13
wish,13
word,13
central,13
fixe,13
divide,13
wherever,13
e,13
hair,13
quadruped,13
blow,13
attack,13
compete,13
grass,13
web,13
death,13
immediately,13
immigration,13
excrete,13
cliff,13
diminish,13
prevail,13
relationship,13
latitude,13
bond,13
whale,13
eastern,13
answer,13
blank,13
construction,13
pupæ,13
reveal,13
geometrical,12
rarity,12
aphides,12
incidental,12
collection,12
precede,12
supervene,12
reader,12
illustration,12
obtain,12
knowledge,12
judgment,12
presume,12
bud,12
differently,12
correct,12
revert,12
gradually,12
oppose,12
perceive,12
whose,12
score,12
clothe,12
extraordinarily,12
chalk,12
insensibly,12
fairly,12
summit,12
alph,12
active,12
constantly,12
progeny,12
annually,12
introduce,12
protect,12
fee,12
ascertain,12
mouse,12
feeding,12
accordance,12
current,12
local,12
membrane,12
reptile,12
dun,12
portion,12
instinctive,12
sanguinea,12
build,12
flat,12
elapse,12
climatal,12
unconscious,11
isolation,11
ostrich,11
parasitic,11
centre,11
adaptive,11
balance,11
want,11
store,11
refer,11
woodpecker,11
catch,11
recur,11
narrow,11
success,11
chief,11
vigour,11
singular,11
toe,11
worth,11
endeavour,11
definite,11
originate,11
eminent,11
permit,11
abnormal,11
taking,11
foreign,11
fancy,11
impress,11
inferior,11
sow,11
expression,11
majority,11
sessile,11
rapidly,11
perish,11
enclose,11
multiply,11
progress,11
profit,11
hard,11
wolf,11
kölreuter,11
lessen,11
pond,11
unequal,11
swim,11
blind,11
repeat,11
territory,11
hexagonal,11
plate,11
endow,11
grand,11
pacific,11
intelligible,11
pattern,11
methodical,10
restrict,10
unfavourable,10
combine,10
interbreed,10
denudation,10
h,10
enlarge,10
coming,10
excellent,10
cautious,10
kingdom,10
mental,10
allowance,10
st,10
withstand,10
grafting,10
ovule,10
opinion,10
constitutional,10
endless,10
otherwise,10
caterpillar,10
poor,10
grant,10
infinite,10
monstrous,10
competent,10
estimate,10
greyhound,10
indian,10
whence,10
immense,10
associate,10
astonish,10
reverse,10
twelve,10
agree,10
deserve,10
imagine,10
watch,10
people,10
hook,10
table,10
modern,10
afterwards,10
final,10
definition,10
watson,10
wollaston,10
flourish,10
anticipate,10
test,10
arrange,10
bright,10
dependent,10
artificial,10
piece,10
tract,10
search,10
marvel,10
clover,10
yellow,10
benefit,10
attach,10
anther,10
wave,10
gigantic,10
maintain,10
incapable,10
matt,10
horizontal,10
indicate,10
union,10
agassiz,10
assign,10
stone,10
fin,10
branchiæ,10
minute,10
lofty,10
metamorphose,10
honey,10
melipona,10
intersection,10
identically,10
excavate,10
caste,10
chain,10
wear,10
continuously,10
colonist,10
non,9
unity,9
imperfection,9
disappearance,9
simultaneous,9
charles,9
accuracy,9
error,9
fundamental,9
around,9
welfare,9
entertain,9
excess,9
unnatural,9
monstrosity,9
easy,9
carnivorous,9
regularly,9
rabbit,9
list,9
essential,9
decide,9
anomaly,9
soil,9
poultry,9
conversely,9
utter,9
flock,9
pouter,9
abort,9
specify,9
vertebræ,9
plumage,9
seven,9
pick,9
b,9
drawing,9
establish,9
effectually,9
devour,9
material,9
rear,9
systematist,9
stem,9
polymorphic,9
entirely,9
commence,9
sake,9
masse,9
beyond,9
notwithstanding,9
desert,9
la,9
plata,9
indirectly,9
nine,9
northward,9
prodigious,9
barren,9
fir,9
vegetation,9
usually,9
victorious,9
hide,9
imaginary,9
quantity,9
petal,9
sweep,9
gray,9
elevation,9
excessively,9
unalter,9
strengthen,9
anterior,9
antennæ,9
notorious,9
proposition,9
sink,9
zebra,9
west,9
smith,9
write,9
possessor,9
insuperable,9
bottom,9
pile,9
plan,9
dissimilarity,9
upraise,9
barrande,9
immigrant,9
naturalisation,8
natura,8
facit,8
saltum,8
endowment,8
morphology,8
recapitulation,8
note,8
finish,8
abstract,8
malay,8
read,8
conceivable,8
catalogue,8
fourth,8
secondly,8
profound,8
drive,8
tame,8
thing,8
utmost,8
valuable,8
larva,8
entail,8
accompany,8
cabbage,8
warmth,8
unlike,8
skull,8
arm,8
hypothesis,8
thoroughly,8
concur,8
fifth,8
whom,8
sum,8
passage,8
anything,8
rich,8
internal,8
wander,8
mingle,8
quick,8
nerve,8
circle,8
service,8
ample,8
essentially,8
